20230316	17:08:31	2e252cc5-e9e9-48fa-a574-8f13b53bd1f0	{req.url}	GET
20230316	17:09:34	e5c6e601-aea8-4790-98f9-774e6be046d6	/data/data.json	GET
20230316	17:10:06	5563ee96-7726-4a5b-8d94-5aa137b6434f	/data/data.json	GET
20230316	17:10:29	db602089-5899-4946-a94a-a5cde2fafac1	/new-page	GET
20230316	17:10:29	73fdf994-5d33-4eaf-b1c2-bc53a12249e2	/css/style.css	GET
20230316	17:10:29	1f2e46e4-f0d0-4174-a2bd-06941c3187c3	/img/img1.jpg	GET
20230316	17:15:17	15ce4589-174f-4694-b1df-3a0473263e4c	/new-page	GET
20230316	17:15:17	fc3bf3b5-a095-4788-b9d9-1b4afbbb843c	/css/style.css	GET
20230316	17:15:17	3b938d50-bb57-4d4b-bf13-d10ff3f2c916	/img/img1.jpg	GET
20230316	17:16:04	c14040d1-c0ee-40c1-9213-b94d01fd828c	/css/style.css	GET
20230316	17:27:13	d8cdbc4c-23ff-4321-8feb-1b4ba0410b6c	/new-page	GET
20230316	17:27:13	63c12663-211c-4102-9878-2ea70085702c	/css/style.css	GET
20230316	17:27:13	e48c00b6-1d95-4fef-8e62-2ee64dd3ce1d	/img/img1.jpg	GET
20230316	17:28:56	b998fe92-e59d-4267-9631-d9cda86ac435	/new-page	GET
20230316	17:29:33	0649f5a4-06d1-4396-85bd-7835fe9ec0c7	/new-page	GET
20230316	17:29:34	507ec599-49f1-48c5-b51b-84b47cc4303a	/css/style.css	GET
20230316	17:29:34	20e2fc6b-87fe-4d49-b9f9-f7cbcc76cba1	/img/img1.jpg	GET
20230316	23:23:23	0b549c0c-e031-4a69-802b-c9cbd96478f6	GET	undefined	/
20230316	23:23:23	a52d6545-ad55-4368-8d4f-b246a84c345c	GET	undefined	/css/style.css
20230316	23:25:45	ed1cd95f-4c36-4668-a20d-252e5aecd31a	GET	undefined	/
20230316	23:25:45	c4dff324-a76b-4bce-88e8-d7ae45a1be93	GET	undefined	/css/style.css
20230316	23:29:42	835240cd-cccd-4d82-9731-a6c45789a4af	OPTIONS	https://www.google.com	/
20230316	23:29:42	6ab23fc3-3514-4afa-8b66-b52204edb094	GET	https://www.google.com	/
20230316	23:36:52	def9f2bd-f853-43b4-b53c-f4b1b3316bda	OPTIONS	https://www.google.com	/
20230316	23:36:52	8dca97e6-b6b0-4507-9785-e691307d6d94	GET	https://www.google.com	/
20230317	23:10:34	be0b16ea-375e-4236-a09b-25e19abd8908	GET	undefined	/
20230317	23:10:34	0414e017-fb1a-4142-8721-fc49b885fc7a	GET	undefined	/css/style.css
20230317	23:10:35	1b7ed543-8088-49f3-afb9-4da5208b5e85	GET	undefined	/favicon.ico
20230317	23:13:56	3520064b-c031-43cb-b790-5427c94a1a3f	GET	undefined	/
20230317	23:13:57	10f6642f-d416-4bbf-8162-52fd70b12873	GET	undefined	/css/style.css
20230317	23:15:15	d8a88aa8-7df8-4765-a744-08f1268b5a04	GET	undefined	/
20230317	23:16:28	f9eb4bb9-0a62-494b-bb44-44a144e6a6fd	GET	undefined	/
20230317	23:16:40	9926e227-1fab-4545-9c0a-fd8fd893e82a	GET	undefined	/
20230317	23:16:40	eb7a8b11-f2c6-411b-8e74-3937e73da83b	GET	undefined	/css/style.css
20230317	23:19:25	be7fe1d7-2ce2-43f2-bd8d-e7b74095c932	GET	undefined	/asdgas
20230317	23:19:25	f1071627-43f7-43df-bc44-58f830c390b1	GET	undefined	/css/style.css
20230317	23:35:19	e93924af-b793-47dc-b98f-16c3504675f5	GET	undefined	/subdir
20230317	23:35:39	af2ec09f-4dad-4ca5-a3b4-c51922ab1efd	GET	undefined	/subdir/test
20230317	23:38:21	6b9cf442-9e93-4ee6-88c0-b480c3052b41	GET	undefined	/subdir/testds
20230317	23:38:21	278a7612-491e-478b-8f82-a6427851cfd6	GET	undefined	/subdir/css/style.css
20230317	23:39:43	927cf51f-f92f-42eb-9a70-39dae2b8bb91	GET	undefined	/subdir/testds
20230317	23:39:43	4eed48c8-1cef-4988-aec0-a8ca1623c142	GET	undefined	/subdir/css/style.css
20230317	23:46:28	64522e27-758d-469f-bcca-0470a0768e76	GET	undefined	/newpage
20230317	23:46:28	dfb57e70-eb94-48cd-88ea-693ac0b7eefe	GET	undefined	/css/style.css
20230317	23:46:33	27de0720-d46c-46e0-b61e-6c16efbfcd73	GET	undefined	/new-page
20230317	23:46:33	79ad0a75-1f58-4615-8189-9aa22d06c0eb	GET	undefined	/css/style.css
20230317	23:49:45	1f02da3e-1877-4867-be30-a0f14c32e4e4	GET	undefined	/new-page
20230317	23:49:45	d03e6413-1a5a-4f7b-8b66-2241a14bf6b0	GET	undefined	/css/style.css
20230317	23:50:03	c1aadff9-765e-420e-92a8-bbf64e895741	GET	undefined	/new-page
20230317	23:50:03	d16f662d-4916-4bbd-95c9-d8fd898e0b14	GET	undefined	/css/style.css
20230318	00:34:03	617ce9cf-5178-415a-ae8d-e0576f2187ae	GET	undefined	/
20230318	00:34:03	e689c9ed-5061-443e-80a5-7399f8e180a4	GET	undefined	/css/style.css
20230318	00:34:16	fc08f6bf-dd24-4e06-b2af-bfff9e1ffb42	GET	undefined	/new-page
20230318	00:34:16	f2bb7c50-bd54-4092-a4b5-3083296a4162	GET	undefined	/css/style.css
20230318	00:34:23	bdd5b998-adb6-4107-87e1-de3c541ed1a7	GET	undefined	/new-page.html
20230318	00:34:23	bcb2af87-22e9-4127-a7b4-f814dc1d439a	GET	undefined	/css/style.css
20230318	00:34:23	b0d0a8a3-1766-47ee-b92d-c7e10a71bb55	GET	undefined	/img/img1.jpg
20230318	00:35:21	879eddb5-f574-4f4a-af02-602595eac721	GET	undefined	/new-page
20230318	00:35:21	ddadd066-6304-4936-a77b-207cec277108	GET	undefined	/css/style.css
20230318	00:35:21	4c96fb53-2ea0-437a-bcc4-90fefdb29c78	GET	undefined	/img/img1.jpg
20230318	00:35:27	1da40782-bd47-4b45-850a-8aae185f9aa5	GET	undefined	/new-page.html
